Property ID,Listing Agent ID,Listing Date,Property Type,Address,City,State,ZIP Code,Country,Price,Number of Bedrooms,Number of Bathrooms,Square Footage,Lot Size,Year Built,Amenities,Description,Status
1,5759,2023-07-17,Condo,96003 Vanessa Fords Suite 743,Sarahberg,HI,19677,USA,521696,3,3,6668,20061,1986,"Gym, Garden, Swimming Pool, Garage","Better practice generation throughout wonder along administration. Figure whole issue tax view cost.
Interest store drug four choice image. Recently home everything conference sell whatever.",Pending
2,7028,2023-06-04,Apartment,314 Amanda Common Suite 820,Justinmouth,NJ,97082,USA,154825,10,3,6454,45207,2009,"Garden, Gym, Swimming Pool, Garage","Over charge try.
Smile more television my book. See plant hold hundred. Soon sport lead good understand.
Major through author catch.",Sold
3,6574,2024-02-02,Apartment,58338 Navarro Club Apt. 510,New Craigport,VA,60877,USA,1729352,9,4,5167,37518,2006,Swimming Pool,"Learn several choose player leg. Attack treatment skin that explain hand detail.
Here many begin list nation significant Republican. One myself smile garden.",Active
4,4032,2023-03-29,Apartment,2450 David Highway Apt. 029,South Alexander,KY,89268,USA,2865226,4,3,7093,24708,1996,Gym,"Manage ok staff others board garden reach. Today can who human material customer.
Development face democratic foreign physical worker best. Surface top trouble then none interest account wear.",Pending
5,8042,2023-11-18,Single Family Home,5150 David Row,Joseberg,KS,82440,USA,1599429,7,5,9722,10439,1983,"Garden, Swimming Pool","On decision thought when movie this accept. Space might cell blood.
Choose maybe politics throw single. Institution month after name. Six deep analysis cold marriage final.",Active
6,7544,2023-07-13,Single Family Home,5262 Nelson Radial,East Michaelport,AZ,13526,USA,2099057,9,2,14066,45907,1969,"Gym, Swimming Pool, Fireplace","Picture none national daughter. Hundred stage those toward.
Action president marriage. Address whatever nothing could partner city.",Active
7,3064,2023-03-11,Apartment,5636 Cochran Mountains Apt. 529,South Jenniferchester,ID,48547,USA,2099320,2,2,10824,7982,2011,"Gym, Garden, Garage, Swimming Pool","Move right back subject yourself. Through become movie question. Article all gun theory project page nice.
Sound day movie pick memory forget yet. Outside same sister.",Pending
8,8200,2023-10-06,Single Family Home,92303 Hernandez Walks,New Jackhaven,TX,19223,USA,2446191,1,3,9534,26820,2018,"Gym, Garden, Fireplace, Swimming Pool, Garage","Forward play exactly wind. Professor teach less. Store itself head drug make.
Speak seem beat while. While mother seek. Front visit picture unit. Author table large or.",Pending
9,2646,2024-02-20,Condo,0435 Rodney View,Lewishaven,NY,21998,USA,967475,3,1,9623,45338,1979,Swimming Pool,Really professional interview. Then sign attack. It learn science include find space they.,Active
10,6711,2023-09-07,Single Family Home,3502 Allen Place Apt. 649,Port Thomas,NY,07666,USA,169765,4,2,4875,29994,1955,"Garden, Fireplace",Response traditional back nor church. Will another beyond nice. Difference interest investment claim feel.,Pending
